brand_id,brand_description,keywords
1,Luxury fashion brand for young adults.,"fashion,lifestyle"
2,Tech company building AI-powered devices.,"technology,gadgets"
3,Fitness supplement brand.,"fitness,health"
4,Organic food products brand.,"food,organic"
5,Global travel accessories company.,"travel,adventure"
6,Premium skincare brand.,"beauty,skincare"
7,Gaming peripherals manufacturer.,"gaming,esports"
8,Baby products and parenting essentials.,"parenting,babies"
9,Investment and financial tools company.,"finance,investing"
10,Mental health & wellness organization.,"mental health,wellness"
