influencer_id,bio,recent_captions
1,Fashion blogger and lifestyle creator.,Trying new recipes today
2,Tech reviewer specializing in AI gadgets.,Testing the latest smartphone
3,Fitness coach focused on home workouts.,Skincare routine updated!
4,Beauty influencer reviewing skincare products.,Trying new recipes today
5,Food vlogger exploring global cuisine.,Skincare routine updated!
6,Motivational speaker & mental wellness advocate.,Skincare routine updated!
7,Motivational speaker & mental wellness advocate.,Testing the latest smartphone
8,Beauty influencer reviewing skincare products.,Testing the latest smartphone
9,Travel photographer capturing landscapes.,Testing the latest smartphone
10,Fashion blogger and lifestyle creator.,New outfit today #style
11,Parenting blogger sharing family tips.,Investing basics explained
12,Motivational speaker & mental wellness advocate.,Investing basics explained
13,Travel photographer capturing landscapes.,Trying new recipes today
14,Fitness coach focused on home workouts.,New outfit today #style
15,Tech reviewer specializing in AI gadgets.,New game release review
16,Beauty influencer reviewing skincare products.,Morning workout session!
17,Parenting blogger sharing family tips.,New game release review
18,Beauty influencer reviewing skincare products.,New outfit today #style
19,Tech reviewer specializing in AI gadgets.,Stay positive every day!
20,Beauty influencer reviewing skincare products.,Family day out!
21,Beauty influencer reviewing skincare products.,New game release review
22,Tech reviewer specializing in AI gadgets.,Trying new recipes today
23,Beauty influencer reviewing skincare products.,Family day out!
24,Beauty influencer reviewing skincare products.,Testing the latest smartphone
25,Fashion blogger and lifestyle creator.,Trying new recipes today
26,Beauty influencer reviewing skincare products.,Sunset views from mountains
27,Travel photographer capturing landscapes.,Stay positive every day!
28,Tech reviewer specializing in AI gadgets.,Sunset views from mountains
29,Fitness coach focused on home workouts.,New outfit today #style
30,Motivational speaker & mental wellness advocate.,New outfit today #style
